SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
42,9.92E-02,Yes,9.92E-02,Standard Deviation,Not Available,GAS,,
46,0.971014193,Yes,-99,N/A,Not Available,GAS,,
64,1.239592587,Yes,-99,N/A,Not Available,GAS,,
78,0.206598765,Yes,-99,N/A,Not Available,GAS,,
107,2.89E-02,Yes,-99,N/A,Not Available,GAS,,
108,2.065987645,Yes,-99,N/A,Not Available,GAS,,
181,0.661116047,Yes,-99,N/A,Not Available,GAS,,
199,0.247918517,Yes,-99,N/A,Not Available,GAS,,
258,6.20E-02,Yes,-99,N/A,Not Available,GAS,,
279,0.578476541,Yes,0.206598765,Standard Deviation,Not Available,GAS,,
280,3.718777762,Yes,-99,N/A,Not Available,GAS,,
281,0.103299382,Yes,-99,N/A,Not Available,GAS,,
282,2.91304258,Yes,-99,N/A,Not Available,GAS,,
283,0.227258641,Yes,-99,N/A,Not Available,GAS,,
301,0.103299382,Yes,-99,N/A,Not Available,GAS,,
302,7.850753052,Yes,4.131975291,Standard Deviation,Not Available,GAS,,
313,0.185938888,Yes,-99,N/A,Not Available,GAS,,
367,0.475177158,Yes,-99,N/A,Not Available,GAS,,
391,2.520504927,Yes,-99,N/A,Not Available,GAS,,
438,4.958370349,Yes,2.479185174,Standard Deviation,Not Available,GAS,,
442,5.37E-02,Yes,-99,N/A,Not Available,GAS,,
449,0.702435799,Yes,0.495837035,Standard Deviation,Not Available,GAS,,
452,7.437555523,Yes,2.479185174,Standard Deviation,Not Available,GAS,,
465,0.537156788,Yes,0.206598765,Standard Deviation,Not Available,GAS,,
466,0.537156788,Yes,-99,N/A,Not Available,GAS,,
491,0.123959259,Yes,-99,N/A,Not Available,GAS,,
497,1.239592587,Yes,-99,N/A,Not Available,GAS,,
507,2.27258641,Yes,1.818069128,Standard Deviation,Not Available,GAS,,
508,0.330558023,Yes,-99,N/A,Not Available,GAS,,
511,1.177612958,Yes,-99,N/A,Not Available,GAS,,
529,25.20504927,Yes,9.09034564,Standard Deviation,Not Available,GAS,,
531,6.197962936,Yes,-99,N/A,Not Available,GAS,,
533,1.24E-02,Yes,1.24E-02,Standard Deviation,Not Available,GAS,,
535,0.227258641,Yes,-99,N/A,Not Available,GAS,,
536,0.185938888,Yes,-99,N/A,Not Available,GAS,,
544,0.165279012,Yes,-99,N/A,Not Available,GAS,,
592,0.330558023,Yes,-99,N/A,Not Available,GAS,,
595,3.31E-02,Yes,-99,N/A,Not Available,GAS,,
600,0.247918517,Yes,-99,N/A,Not Available,GAS,,
601,0.165279012,Yes,-99,N/A,Not Available,GAS,,
605,0.28923827,Yes,-99,N/A,Not Available,GAS,,
607,0.123959259,Yes,-99,N/A,Not Available,GAS,,
663,0.016527901,Yes,-99,N/A,Not Available,GAS,,
671,2.065987645,Yes,-99,N/A,Not Available,GAS,,
673,0.103299382,Yes,-99,N/A,Not Available,GAS,,
678,4.958370349,Yes,-99,N/A,Not Available,GAS,,
698,1.115633329,Yes,-99,N/A,Not Available,GAS,,
707,6.20E-02,Yes,-99,N/A,Not Available,GAS,,
717,4.54517282,Yes,2.892382704,Standard Deviation,Not Available,GAS,,
737,0.723095676,Yes,-99,N/A,Not Available,GAS,,
840,2.69E-02,Yes,-99,N/A,Not Available,GAS,,
1013,6.61E-02,Yes,-99,N/A,Not Available,GAS,,
1018,1.24E-02,Yes,-99,N/A,Not Available,GAS,,
1463,2.809743198,Yes,-99,N/A,Not Available,GAS,,
1670,0.909034564,Yes,-99,N/A,Not Available,GAS,,
1802,0.103299382,Yes,-99,N/A,Not Available,GAS,,
1902,0.743755552,Yes,-99,N/A,Not Available,GAS,,
2154,7.44E-02,Yes,-99,N/A,Not Available,GAS,,
2160,0.28923827,Yes,-99,N/A,Not Available,GAS,,
2248,0.619796294,Yes,-99,N/A,Not Available,GAS,,
2637,0.123959259,Yes,-99,N/A,Not Available,GAS,,
2638,0.016527901,Yes,-99,N/A,Not Available,GAS,,
2639,6.61E-02,Yes,-99,N/A,Not Available,GAS,,
2640,2.685783939,Yes,-99,N/A,Not Available,GAS,,
2641,0.743755552,Yes,-99,N/A,Not Available,GAS,,
2642,9.50E-02,Yes,-99,N/A,Not Available,GAS,,
2643,1.24E-02,Yes,-99,N/A,Not Available,GAS,,
2644,5.78E-02,Yes,-99,N/A,Not Available,GAS,,
2645,0.086771481,Yes,-99,N/A,Not Available,GAS,,
2646,4.96E-02,Yes,-99,N/A,Not Available,GAS,,
2647,4.13E-03,Yes,-99,N/A,Not Available,GAS,,
