SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,0.061,,0.15,N/A,Not Available,,,
296,3.00E-03,,0.02,N/A,Not Available,,,
298,1.00E-03,,0.003,N/A,Not Available,,,
300,0.014,,0.038,N/A,Not Available,,,
328,0.003,,0.007,N/A,Not Available,,,
329,0.305,,0.24,N/A,Not Available,,,
347,2.00E-03,,0.004,N/A,Not Available,,,
380,3.00E-03,,0.007,N/A,Not Available,,,
436,0.00E+00,No,6.049,N/A,Not Available,,,
487,1.00E-03,,0.01,N/A,Not Available,,,
488,0.029,,0.097,N/A,Not Available,,,
519,2.50E-02,,0.057,N/A,Not Available,,,
520,4.00E-03,,0.014,N/A,Not Available,,,
525,9.10E-02,,0.282,N/A,Not Available,,,
526,1.60E-02,,0.029,N/A,Not Available,,,
528,0.00E+00,,0.002,N/A,Not Available,,,
586,1.00E-03,,0.004,N/A,Not Available,,,
612,0.007,,0.017,N/A,Not Available,,,
613,0.06,,0.208,N/A,Not Available,,,
626,1.59E+01,,7.75,N/A,Not Available,,,
649,2.00E-03,,0.006,N/A,Not Available,,,
666,2.40E-02,,0.096,N/A,Not Available,,,
669,4.13E+00,,4.339,N/A,Not Available,,,
689,2.00E-03,,2.00E-03,N/A,Not Available,,,
693,1.00E-03,,0.001,N/A,Not Available,,,
694,0.079,,0.176,N/A,Not Available,,,
695,5.00E-03,,0.009,N/A,Not Available,,,
696,7.58E+00,,5.743,N/A,Not Available,,,
697,7.00E-03,,0.004,N/A,Not Available,,,
699,1.87E+01,,8.217,N/A,Not Available,,,
700,5.14E+00,No,1.998,N/A,Not Available,,,
714,0.008,,0.013,N/A,Not Available,,,
715,0.003,,0.002,N/A,Not Available,,,
767,9.00E-03,,0.005,N/A,Not Available,,,
777,0,,0.001,N/A,Not Available,,,
778,4.00E-03,,0.007,N/A,Not Available,,,
779,2.00E-03,,0.006,N/A,Not Available,,,
795,0.584,,2.497,N/A,Not Available,,,
797,9.07E-01,,1.744,N/A,Not Available,,,
810,9.00E-03,,0.006,N/A,Not Available,,,
1861,1.40E-02,,0.045,N/A,Not Available,,,
1871,2.12E-01,,0.986,N/A,Not Available,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
