SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,1.362,,1.187,N/A,Not Available,,,
296,0.012,,0.022,N/A,Not Available,,,
298,0.008,,0.004,N/A,Not Available,,,
300,2.30E-02,,0.063,N/A,Not Available,,,
328,8.00E-03,,0.01,N/A,Not Available,,,
329,8.89E+00,,1.786,N/A,Not Available,,,
347,9.10E-02,,0.032,N/A,Not Available,,,
379,0.233,,0.141,N/A,Not Available,,,
380,7.10E-02,,0.017,N/A,Not Available,,,
436,6.40E-02,No,0.017,N/A,Not Available,,,
487,1.00E-03,,0.006,N/A,Not Available,,,
488,5.67E-01,,0.24,N/A,Not Available,,,
519,2.00E-03,,0.006,N/A,Not Available,,,
520,1.73E-01,,0.105,N/A,Not Available,,,
525,0.182,,0.342,N/A,Not Available,,,
526,0.065,,0.031,N/A,Not Available,,,
528,1.00E-03,,0.001,N/A,Not Available,,,
586,5.00E-03,,0.004,N/A,Not Available,,,
612,2.90E-02,,0.065,N/A,Not Available,,,
613,8.70E-02,,0.577,N/A,Not Available,,,
626,3.13E+00,,2.51E+00,N/A,Not Available,,,
666,2.90E-02,,0.02,N/A,Not Available,,,
669,0.931,,0.613,N/A,Not Available,,,
689,6.00E-03,,0.006,N/A,Not Available,,,
693,5.60E-02,,0.027,N/A,Not Available,,,
694,3.21E+00,,5.945,N/A,Not Available,,,
695,0.00E+00,,0.006,N/A,Not Available,,,
696,1.33E+00,,0.842,N/A,Not Available,,,
697,0.011,,0.002,N/A,Not Available,,,
699,12.723,,7.867,N/A,Not Available,,,
700,4.57E+00,No,3.297,N/A,Not Available,,,
714,0.002,,0.012,N/A,Not Available,,,
715,8.80E-02,,0.131,N/A,Not Available,,,
767,2.00E-03,,0.004,N/A,Not Available,,,
778,0.108,,0.031,N/A,Not Available,,,
779,0.00E+00,,0.002,N/A,Not Available,,,
788,3.75E-01,,0.185,N/A,Not Available,,,
795,1.79E+00,,1.401,N/A,Not Available,,,
797,3.63E-01,,5.354,N/A,Not Available,,,
810,5.00E-03,,0.004,N/A,Not Available,,,
1839,2.00E-03,,0.005,N/A,Not Available,,,
1860,4.00E-03,,0.012,N/A,Not Available,,,
1869,6.80E-02,,0.232,N/A,Not Available,,,
1871,1.60E-02,,0.109,N/A,Not Available,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
