SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
30,3.70E-01,Yes,-99,N/A,Not Available,GAS,,
302,2.57E+00,Yes,-99,N/A,Not Available,GAS,,
385,1.23E+00,Yes,-99,N/A,Not Available,GAS,,
438,2.13E+00,Yes,-99,N/A,Not Available,GAS,,
449,3.20E-01,Yes,-99,N/A,Not Available,GAS,,
491,7.34E+00,Yes,-99,N/A,Not Available,GAS,,
514,0.05,Yes,-99,N/A,Not Available,GAS,,
592,28.08,Yes,-99,N/A,Not Available,GAS,,
600,1.70E+00,Yes,-99,N/A,Not Available,GAS,,
601,5.61E+00,Yes,-99,N/A,Not Available,GAS,,
603,4.00E-02,Yes,-99,N/A,Not Available,GAS,,
604,1.00E-02,Yes,-99,N/A,Not Available,GAS,,
605,7.97E+00,Yes,-9.90E+01,N/A,Not Available,GAS,,
620,1.30E-01,Yes,-99,N/A,Not Available,GAS,,
671,12.7,Yes,-99,N/A,Not Available,GAS,,
717,2.06E+00,Yes,-99,N/A,Not Available,GAS,,
2284,2.77E+01,Yes,-99,N/A,Not Available,GAS,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
