SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
25,2.59E-03,Yes,-99,N/A,Not Available,GAS,,
30,0.06362341,Yes,-99,N/A,Not Available,GAS,,
44,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
46,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
64,4.86E-02,Yes,-99,N/A,Not Available,GAS,,
78,0.790895879,Yes,-99,N/A,Not Available,GAS,,
80,2.59E-03,Yes,-99,N/A,Not Available,GAS,,
103,5.17E-03,Yes,-99,N/A,Not Available,GAS,,
108,1.031940666,Yes,-99,N/A,Not Available,GAS,,
118,2.036466368,Yes,-99,N/A,Not Available,GAS,,
122,0.170179689,Yes,-99,N/A,Not Available,GAS,,
130,1.09E-02,Yes,-99,N/A,Not Available,GAS,,
152,8.53E-02,Yes,-99,N/A,Not Available,GAS,,
154,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
156,7.24E-03,Yes,-99,N/A,Not Available,GAS,,
181,0.145868305,Yes,-99,N/A,Not Available,GAS,,
185,7.76E-02,Yes,-99,N/A,Not Available,GAS,,
199,5.07E-02,Yes,-99,N/A,Not Available,GAS,,
226,2.59E-03,Yes,-99,N/A,Not Available,GAS,,
230,2.95E-02,Yes,-99,N/A,Not Available,GAS,,
239,6.21E-03,Yes,-99,N/A,Not Available,GAS,,
244,2.48E-02,Yes,-99,N/A,Not Available,GAS,,
245,0.140178406,Yes,-99,N/A,Not Available,GAS,,
248,0.3910512,Yes,-99,N/A,Not Available,GAS,,
262,1.91E-02,Yes,-99,N/A,Not Available,GAS,,
279,2.07E-03,Yes,-99,N/A,Not Available,GAS,,
280,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
282,2.07E-03,Yes,-99,N/A,Not Available,GAS,,
283,1.03E-03,Yes,-9.90E+01,N/A,Not Available,GAS,,
285,4.14E-03,Yes,-99,N/A,Not Available,GAS,,
302,1.862148571,Yes,-99,N/A,Not Available,GAS,,
313,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
331,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
333,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
340,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
343,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
367,0.139661143,Yes,-99,N/A,Not Available,GAS,,
369,0.032070336,Yes,-99,N/A,Not Available,GAS,,
371,5.90E-02,Yes,-99,N/A,Not Available,GAS,,
385,0.316565257,Yes,-99,N/A,Not Available,GAS,,
386,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
387,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
390,0.104487225,Yes,-99,N/A,Not Available,GAS,,
391,2.12E-02,Yes,-99,N/A,Not Available,GAS,,
413,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
417,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
425,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
426,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
427,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
428,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
434,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
441,1.55E-03,Yes,-99,N/A,Not Available,GAS,,
442,3.10E-03,Yes,-99,N/A,Not Available,GAS,,
443,9.31E-03,Yes,-99,N/A,Not Available,GAS,,
445,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
446,6.88E-02,Yes,-99,N/A,Not Available,GAS,,
449,6.00E-02,Yes,-99,N/A,Not Available,GAS,,
450,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
452,1.52E+00,Yes,-99,N/A,Not Available,GAS,,
454,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
459,5.69E-03,Yes,-99,N/A,Not Available,GAS,,
462,2.07E-03,Yes,-99,N/A,Not Available,GAS,,
464,4.29E-02,Yes,-99,N/A,Not Available,GAS,,
465,4.04E+00,Yes,-99,N/A,Not Available,GAS,,
485,5.17E-03,Yes,-99,N/A,Not Available,GAS,,
491,6.73E+00,Yes,-99,N/A,Not Available,GAS,,
497,1.03E-03,Yes,-99,N/A,Not Available,GAS,,
499,3.88E-02,Yes,-99,N/A,Not Available,GAS,,
500,0.115349759,Yes,-99,N/A,Not Available,GAS,,
503,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
505,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
507,1.227466266,Yes,-99,N/A,Not Available,GAS,,
508,2.002844241,Yes,-99,N/A,Not Available,GAS,,
512,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
513,4.14E-03,Yes,-99,N/A,Not Available,GAS,,
514,0.031553073,Yes,-99,N/A,Not Available,GAS,,
522,0.182594013,Yes,-99,N/A,Not Available,GAS,,
524,5.17E-04,Yes,-99,N/A,Not Available,GAS,,
