SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,0.585,,0.113,N/A,Not Available,,,
296,0.084,,0.016,N/A,Not Available,,,
298,0.01,,0.002,N/A,Not Available,,,
300,0.004,,0.001,N/A,Not Available,,,
328,0.058,,0.011,N/A,Not Available,,,
329,0.384,,0.074,N/A,Not Available,,,
347,0.018,,0.003,N/A,Not Available,,,
380,0.09,,0.017,N/A,Not Available,,,
488,0.314,,0.061,N/A,Not Available,,,
520,4.115,,0.796,N/A,Not Available,,,
525,0.71,,0.137,N/A,Not Available,,,
526,0.042,,0.008,N/A,Not Available,,,
528,2.665,,0.516,N/A,Not Available,,,
612,0.007,,0.001,N/A,Not Available,,,
669,2.5,,0.484,N/A,Not Available,,,
695,0.013,,0.002,N/A,Not Available,,,
696,4.775,,0.924,N/A,Not Available,,,
700,2.15,No,0.416,N/A,Not Available,,,
714,0.443,,0.086,N/A,Not Available,,,
715,0.097,,0.019,N/A,Not Available,,,
778,5.9,,1.142,N/A,Not Available,,,
795,11.15,,2.158,N/A,Not Available,,,
810,0.083,,0.016,N/A,Not Available,,,
1862,0.002,,0,N/A,Not Available,,,
