SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,0.00E+00,,-99,N/A,Not Available,,,
298,0,,-99,N/A,Not Available,,,
300,0.00E+00,,-99,N/A,Not Available,,,
329,0.00E+00,,-99,N/A,Not Available,,,
347,0,,-99,N/A,Not Available,,,
380,0,,-99,N/A,Not Available,,,
488,0,,-99,N/A,Not Available,,,
520,0.00E+00,,-99,N/A,Not Available,,,
525,0.00E+00,,-99,N/A,Not Available,,,
526,0.00E+00,,-99,N/A,Not Available,,,
612,0.00E+00,,-99,N/A,Not Available,,,
613,0,,-99,N/A,Not Available,,,
626,0.00E+00,,-99,N/A,Not Available,,,
666,0.00E+00,,-99,N/A,Not Available,,,
669,0.00E+00,,-99,N/A,Not Available,,,
689,0.00E+00,,-99,N/A,Not Available,,,
693,0.00E+00,,-99,N/A,Not Available,,,
694,0.00E+00,,-99,N/A,Not Available,,,
696,0,,-99,N/A,Not Available,,,
697,0,,-99,N/A,Not Available,,,
699,0.00E+00,,-99,N/A,Not Available,,,
715,0.00E+00,,-99,N/A,Not Available,,,
767,0.00E+00,,-99,N/A,Not Available,,,
778,0.00E+00,,-99,N/A,Not Available,,,
784,0.00E+00,,-9.90E+01,N/A,Not Available,,,
795,0.00E+00,,-99,N/A,Not Available,,,
797,0,,-99,N/A,Not Available,,,
810,0.00E+00,,-99,N/A,Not Available,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
