SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,0.4355,,0.2497,Standard deviation,X-Ray Fluorescence (XRF),,,
298,0.0049,,0.0094,Standard deviation,X-Ray Fluorescence (XRF),,,
300,0.0415,,0.2952,Standard deviation,X-Ray Fluorescence (XRF),,,
329,5.2095,,1.601,Standard deviation,X-Ray Fluorescence (XRF),,,
337,0.0359,,0.1375,Standard deviation,Ion Chromatography (IC),,,
347,0.0013,,0.0143,Standard deviation,X-Ray Fluorescence (XRF),,,
380,0.0303,,0.0128,Standard deviation,X-Ray Fluorescence (XRF),,,
436,56.0027,No,8.0727,Standard deviation,Thermal/Optical Reflectance,,,
488,0.3882,,0.2071,Standard deviation,X-Ray Fluorescence (XRF),,,
519,0.0009,,0.0062,Standard deviation,X-Ray Fluorescence (XRF),,,
520,0.0021,,0.0225,Standard deviation,X-Ray Fluorescence (XRF),,,
525,0.0711,,0.1296,Standard deviation,X-Ray Fluorescence (XRF),,,
526,0.0078,,0.0097,Standard deviation,X-Ray Fluorescence (XRF),,,
612,0.0017,,0.0077,Standard deviation,X-Ray Fluorescence (XRF),,,
613,0.2057,,0.1662,Standard deviation,Ion Chromatography (IC),,,
626,13.0057,,3.5332,Standard deviation,Thermal/Optical Reflectance,,,
669,0.0983,,0.0546,Standard deviation,X-Ray Fluorescence (XRF),,,
689,0.0002,,0.002,Standard deviation,X-Ray Fluorescence (XRF),,,
694,1.547,,0.7557,Standard deviation,X-Ray Fluorescence (XRF),,,
696,0.1032,,0.2756,Standard deviation,X-Ray Fluorescence (XRF),,,
697,0.0059,,0.0061,Standard deviation,X-Ray Fluorescence (XRF),,,
699,15.7746,,3.728,Standard deviation,Ion Chromatography (IC),,,
700,6.0302,No,1.2799,Standard deviation,X-Ray Fluorescence (XRF),,,
715,0.0609,,0.121,Standard deviation,X-Ray Fluorescence (XRF),,,
765,0.714,,0.5079,Standard deviation,X-Ray Fluorescence (XRF),,,
767,0.0011,,0.0003,Standard deviation,X-Ray Fluorescence (XRF),,,
777,0.001,,0.0073,Standard deviation,X-Ray Fluorescence (XRF),,,
778,0.6718,,0.195,Standard deviation,X-Ray Fluorescence (XRF),,,
779,0.0021,,0.0063,Standard deviation,X-Ray Fluorescence (XRF),,,
784,0.7431,,0.3044,Standard deviation,Automated Colorimetry,,,
785,0.3694,,0.3915,Standard deviation,Atomic Absorption Spectroscopy,,,
789,3.9667,No,1.2918,Standard deviation,Thermal/Optical Reflectance,,,
790,4.4468,No,1.482,Standard deviation,Thermal/Optical Reflectance,,,
791,3.4802,No,1.1761,Standard deviation,Thermal/Optical Reflectance,,,
792,0,No,-99,N/A,Thermal/Optical Reflectance,,,
794,19.3731,No,4.7045,Standard deviation,Thermal/Optical Reflectance,,,
795,0.0606,,0.1372,Standard deviation,X-Ray Fluorescence (XRF),,,
796,0.9543,No,0.7326,Standard deviation,Thermal/Optical Reflectance,,,
797,42.9969,,5.9348,Standard deviation,Thermal/Optical Reflectance,,,
810,0.0018,,0.0064,Standard deviation,X-Ray Fluorescence (XRF),,,
830,1018.5259,No,203.3733,Standard deviation,Ion Chromatography (IC),,,
1183,1.0203,No,1.2052,Standard deviation,Thermal/Optical Reflectance,,,
1190,22.7648,No,3.9959,Standard deviation,Thermal/Optical Reflectance,,,
2302,0.0786,,0.0779,Standard deviation,Atomic Absorption Spectroscopy,,,
