SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,16.52,,2.36,N/A,Not Available,,,
296,0.002,,0.003,N/A,Not Available,,,
298,4.00E-03,,0.001,N/A,Not Available,,,
300,0,,-99,N/A,Not Available,,,
329,0.159,,0.035,N/A,Not Available,,,
347,0.015,,0.002,N/A,Not Available,,,
379,4.00E-03,,0.001,N/A,Not Available,,,
380,0.008,,0.007,N/A,Not Available,,,
488,0.59,,0.03,N/A,Not Available,,,
519,0.873,,0.041,N/A,Not Available,,,
520,0.033,,0.013,N/A,Not Available,,,
526,0.005,,0.001,N/A,Not Available,,,
612,0.058,,0.01,N/A,Not Available,,,
613,0,,-99,N/A,Not Available,,,
626,0,,-99,N/A,Not Available,,,
666,0,,-99,N/A,Not Available,,,
669,0.118,,0.018,N/A,Not Available,,,
689,0.007,,0.003,N/A,Not Available,,,
693,1.00E-03,,-99,N/A,Not Available,,,
694,49.56,,2.95,N/A,Not Available,,,
696,0.944,,0.118,N/A,Not Available,,,
697,0.012,,0.001,N/A,Not Available,,,
699,0,,-99,N/A,Not Available,,,
700,4.012,No,1.829,N/A,Not Available,,,
714,0,,-99,N/A,Not Available,,,
715,0.708,,0.708,N/A,Not Available,,,
767,0.049,,0.027,N/A,Not Available,,,
778,0.012,,0.001,N/A,Not Available,,,
779,0.094,,0.03,N/A,Not Available,,,
795,0.384,,0.153,N/A,Not Available,,,
797,2.77E-01,,7.10E-02,N/A,Not Available,,,
810,0.004,,0.001,N/A,Not Available,,,
1851,0.454,,0.035,N/A,Not Available,,,
1854,0.045,,0.002,N/A,Not Available,,,
1855,0.001,,-99,N/A,Not Available,,,
1857,2.00E-03,,-99,N/A,Not Available,,,
1858,0.002,,-99,N/A,Not Available,,,
1861,0.684,,0.041,N/A,Not Available,,,
1863,0.001,,-99,N/A,Not Available,,,
1864,0.017,,0.003,N/A,Not Available,,,
1868,0.001,,-99,N/A,Not Available,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
