SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,0.64,,1.11,Standard deviation,X-Ray Fluorescence (XRF),,,
296,0.02,,0.11,Standard deviation,X-Ray Fluorescence (XRF),,,
298,0,,0.03,Standard deviation,X-Ray Fluorescence (XRF),,,
300,0,,0.4,Standard deviation,X-Ray Fluorescence (XRF),,,
328,0.01,,0.06,Standard deviation,X-Ray Fluorescence (XRF),,,
329,3.47,,0.94,Standard deviation,X-Ray Fluorescence (XRF),,,
347,0.04,,0.02,Standard deviation,X-Ray Fluorescence (XRF),,,
379,0,,0.03,Standard deviation,X-Ray Fluorescence (XRF),,,
380,0.04,,0.01,Standard deviation,X-Ray Fluorescence (XRF),,,
436,19.03,No,3.2626,Standard deviation,Thermal/Optical Reflectance,,,
468,0,,0.02,Standard deviation,X-Ray Fluorescence (XRF),,,
487,0.02,,0.07,Standard deviation,X-Ray Fluorescence (XRF),,,
488,1.54,,0.44,Standard deviation,X-Ray Fluorescence (XRF),,,
519,2.66,,44.75,Standard deviation,X-Ray Fluorescence (XRF),,,
520,16.27,,4.54,Standard deviation,X-Ray Fluorescence (XRF),,,
526,0.03,,0.02,Standard deviation,X-Ray Fluorescence (XRF),,,
528,111.94,,101.69,Standard deviation,X-Ray Fluorescence (XRF),,,
586,0.01,,0.03,Standard deviation,X-Ray Fluorescence (XRF),,,
612,0.01,,0.01,Standard deviation,X-Ray Fluorescence (XRF),,,
613,4.02,,3.58,Standard deviation,Ion Chromatography (IC),,,
626,15.48,,2.48,Standard deviation,Thermal/Optical Reflectance,,,
649,0.01,,0.05,Standard deviation,X-Ray Fluorescence (XRF),,,
666,0.1,,0.13,Standard deviation,X-Ray Fluorescence (XRF),,,
669,0.85,,0.12,Standard deviation,X-Ray Fluorescence (XRF),,,
689,0,,0.06,Standard deviation,X-Ray Fluorescence (XRF),,,
693,0,,0.01,Standard deviation,X-Ray Fluorescence (XRF),,,
694,2.36,,2.62,Standard deviation,X-Ray Fluorescence (XRF),,,
695,0.03,,0.06,Standard deviation,X-Ray Fluorescence (XRF),,,
697,0.03,,0.01,Standard deviation,X-Ray Fluorescence (XRF),,,
699,10.61,,6.7,Standard deviation,Ion Chromatography (IC),,,
700,3.21,No,0.74,Standard deviation,X-Ray Fluorescence (XRF),,,
714,0.06,,0.1,Standard deviation,X-Ray Fluorescence (XRF),,,
715,0.11,,0.09,Standard deviation,X-Ray Fluorescence (XRF),,,
767,0.01,,0.05,Standard deviation,X-Ray Fluorescence (XRF),,,
777,0,,0.01,Standard deviation,X-Ray Fluorescence (XRF),,,
778,0.47,,0.2,Standard deviation,X-Ray Fluorescence (XRF),,,
779,0,,0.01,Standard deviation,X-Ray Fluorescence (XRF),,,
784,20.05,,15.79,Standard deviation,Automated Colorimetry,,,
785,1.4,,2.05,Standard deviation,Atomic Absorption Spectroscopy,,,
795,20.75,,17.67,Standard deviation,X-Ray Fluorescence (XRF),,,
797,3.55,,2.12,Standard deviation,Thermal/Optical Reflectance,,,
810,1.01,,0.97,Standard deviation,X-Ray Fluorescence (XRF),,,
2302,1,,0.11,Standard deviation,Atomic Absorption Spectroscopy,,,
