SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,0.285,,0.441,Standard deviation,X-Ray Fluorescence (XRF),,,
298,0.0021,,0.0098,Standard deviation,X-Ray Fluorescence (XRF),,,
300,0.0186,,0.0889,Standard deviation,X-Ray Fluorescence (XRF),,,
329,0.1764,,0.2865,Standard deviation,X-Ray Fluorescence (XRF),,,
337,0.0993,,0.4882,Standard deviation,Ion Chromatography (IC),,,
347,0.0003,,0.0022,Standard deviation,X-Ray Fluorescence (XRF),,,
380,0.017,,0.0223,Standard deviation,X-Ray Fluorescence (XRF),,,
436,72.4357,No,12.3113,Standard deviation,Thermal/Optical Reflectance,,,
488,0.1673,,0.2222,Standard deviation,X-Ray Fluorescence (XRF),,,
519,0.0018,,0.0158,Standard deviation,X-Ray Fluorescence (XRF),,,
520,0.0006,,0.0031,Standard deviation,X-Ray Fluorescence (XRF),,,
525,0.0035,,0.0296,Standard deviation,X-Ray Fluorescence (XRF),,,
526,0.0072,,0.0276,Standard deviation,X-Ray Fluorescence (XRF),,,
612,0.003,,0.0198,Standard deviation,X-Ray Fluorescence (XRF),,,
613,0.7074,,1.4148,Standard deviation,Ion Chromatography (IC),,,
626,65.4445,,12.4487,Standard deviation,Thermal/Optical Reflectance,,,
669,0.0865,,0.149,Standard deviation,X-Ray Fluorescence (XRF),,,
689,0,,0.0009,Standard deviation,X-Ray Fluorescence (XRF),,,
694,0.7512,,1.1161,Standard deviation,X-Ray Fluorescence (XRF),,,
696,0.019,,0.0883,Standard deviation,X-Ray Fluorescence (XRF),,,
697,0.0005,,0.0014,Standard deviation,X-Ray Fluorescence (XRF),,,
699,10.0659,,5.8605,Standard deviation,Ion Chromatography (IC),,,
700,2.9419,No,1.805,Standard deviation,X-Ray Fluorescence (XRF),,,
715,0.0154,,0.332,Standard deviation,X-Ray Fluorescence (XRF),,,
765,0.9991,,0.7828,Standard deviation,X-Ray Fluorescence (XRF),,,
767,0.0009,,0.0009,Standard deviation,X-Ray Fluorescence (XRF),,,
777,0,,-99,N/A,X-Ray Fluorescence (XRF),,,
778,0.0489,,0.0868,Standard deviation,X-Ray Fluorescence (XRF),,,
779,0,,0.0011,Standard deviation,X-Ray Fluorescence (XRF),,,
784,0.279,,0.4275,Standard deviation,Automated Colorimetry,,,
785,0.4394,,0.831,Standard deviation,Atomic Absorption Spectroscopy,,,
789,9.3223,No,2.8078,Standard deviation,Thermal/Optical Reflectance,,,
790,15.3964,No,4.2868,Standard deviation,Thermal/Optical Reflectance,,,
791,8.0258,No,2.7645,Standard deviation,Thermal/Optical Reflectance,,,
792,0,No,-99,N/A,Thermal/Optical Reflectance,,,
794,23.1405,No,8.4995,Standard deviation,Thermal/Optical Reflectance,,,
795,0.122,,0.1964,Standard deviation,X-Ray Fluorescence (XRF),,,
796,0.6871,No,0.7421,Standard deviation,Thermal/Optical Reflectance,,,
797,6.9912,,1.5988,Standard deviation,Thermal/Optical Reflectance,,,
810,0.0013,,0.0171,Standard deviation,X-Ray Fluorescence (XRF),,,
830,1027.7566,No,847.375,Standard deviation,Ion Chromatography (IC),,,
1183,7.7529,No,4.4444,Standard deviation,Thermal/Optical Reflectance,,,
1190,8.1186,No,2.9176,Standard deviation,Thermal/Optical Reflectance,,,
2302,0.0661,,0.135,Standard deviation,Atomic Absorption Spectroscopy,,,
