SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,0,,2.42,N/A,Not Available,,,
296,0,,0.05,N/A,Not Available,,,
300,0,,0.125,N/A,Not Available,,,
328,0.00E+00,,0.019,N/A,Not Available,,,
329,2.5,,0.663,N/A,Not Available,,,
347,0.275,,0.081,N/A,Not Available,,,
379,1,,0.265,N/A,Not Available,,,
380,2.50E-02,,0.007,N/A,Not Available,,,
468,0,,0.001,N/A,Not Available,,,
488,0.275,,0.1,N/A,Not Available,,,
519,0,,0.216,N/A,Not Available,,,
520,0.025,,0.01,N/A,Not Available,,,
526,0.025,,0.013,N/A,Not Available,,,
528,0,,0.004,N/A,Not Available,,,
612,0.275,,0.073,N/A,Not Available,,,
613,0.275,,0.073,N/A,Not Available,,,
626,3.5,,0.928,N/A,Not Available,,,
669,0,,0.016,N/A,Not Available,,,
689,0,,0.002,N/A,Not Available,,,
693,2.75E-01,,0.073,N/A,Not Available,,,
694,0,,5.265,N/A,Not Available,,,
695,0,,0.014,N/A,Not Available,,,
697,0.025,,0.007,N/A,Not Available,,,
699,23.5,,6.231,N/A,Not Available,,,
700,7.8,No,2.169,N/A,Not Available,,,
714,0,,0.026,N/A,Not Available,,,
715,0,,0.174,N/A,Not Available,,,
778,0.275,,0.073,N/A,Not Available,,,
779,0.025,,0.017,N/A,Not Available,,,
810,0.025,,0.007,N/A,Not Available,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
