SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,5.1641,,0.3319,Standard deviation,X-Ray Fluorescence (XRF),,,
294,0.1533,No,0.0774,Standard deviation,Automated Colorimetry,,,
296,0.0231,,0.0035,Standard deviation,X-Ray Fluorescence (XRF),,,
298,0,,0.0872,Standard deviation,X-Ray Fluorescence (XRF),,,
300,3.001,,0.1761,Standard deviation,X-Ray Fluorescence (XRF),,,
328,0.0044,,0.0016,Standard deviation,X-Ray Fluorescence (XRF),,,
329,30.7739,,1.7971,Standard deviation,X-Ray Fluorescence (XRF),,,
337,0,,0.028,Standard deviation,Ion Chromatography (IC),,,
347,0.0748,,0.0084,Standard deviation,X-Ray Fluorescence (XRF),,,
379,0.0128,,0.1072,Standard deviation,X-Ray Fluorescence (XRF),,,
380,0.2293,,0.0134,Standard deviation,X-Ray Fluorescence (XRF),,,
436,6.2728,No,0.7326,Standard deviation,Thermal/Optical Reflectance,,,
468,0.0642,,0.0042,Standard deviation,X-Ray Fluorescence (XRF),,,
477,0.0087,,0.0592,Standard deviation,X-Ray Fluorescence (XRF),,,
487,0,,0.0028,Standard deviation,X-Ray Fluorescence (XRF),,,
488,6.7855,,0.3962,Standard deviation,X-Ray Fluorescence (XRF),,,
519,0,,0.029,Standard deviation,X-Ray Fluorescence (XRF),,,
520,0.2218,,0.0401,Standard deviation,X-Ray Fluorescence (XRF),,,
525,0,,0.3775,Standard deviation,X-Ray Fluorescence (XRF),,,
526,0.3417,,0.0203,Standard deviation,X-Ray Fluorescence (XRF),,,
528,0,,0.0022,Standard deviation,X-Ray Fluorescence (XRF),,,
586,0.0302,,0.0032,Standard deviation,X-Ray Fluorescence (XRF),,,
612,0.0629,,0.0036,Standard deviation,X-Ray Fluorescence (XRF),,,
613,0.0455,,0.0274,Standard deviation,Ion Chromatography (IC),,,
626,4.2296,,0.5796,Standard deviation,Thermal/Optical Reflectance,,,
649,0,,0.0022,Standard deviation,X-Ray Fluorescence (XRF),,,
666,0,,0.1495,Standard deviation,X-Ray Fluorescence (XRF),,,
669,0.8364,,0.0573,Standard deviation,X-Ray Fluorescence (XRF),,,
689,0.0112,,0.001,Standard deviation,X-Ray Fluorescence (XRF),,,
693,1.1896,,0.0695,Standard deviation,X-Ray Fluorescence (XRF),,,
694,15.9871,,0.9714,Standard deviation,X-Ray Fluorescence (XRF),,,
695,0.0031,,0.0016,Standard deviation,X-Ray Fluorescence (XRF),,,
696,0,,3.882,Standard deviation,X-Ray Fluorescence (XRF),,,
697,1.499,,0.0876,Standard deviation,X-Ray Fluorescence (XRF),,,
699,22.5626,,2.3545,Standard deviation,Ion Chromatography (IC),,,
700,13.7215,No,0.8032,Standard deviation,X-Ray Fluorescence (XRF),,,
712,0,,0.0128,Standard deviation,X-Ray Fluorescence (XRF),,,
714,0.0246,,0.0032,Standard deviation,X-Ray Fluorescence (XRF),,,
715,1.7865,,0.1607,Standard deviation,X-Ray Fluorescence (XRF),,,
765,0,,0.0056,Standard deviation,X-Ray Fluorescence (XRF),,,
767,0.1617,,0.1636,Standard deviation,X-Ray Fluorescence (XRF),,,
777,0.0059,,0.0019,Standard deviation,X-Ray Fluorescence (XRF),,,
778,1.6043,,0.0938,Standard deviation,X-Ray Fluorescence (XRF),,,
779,0.0626,,0.0194,Standard deviation,X-Ray Fluorescence (XRF),,,
784,0.7177,,0.0737,Standard deviation,Automated Colorimetry,,,
785,0.4311,,0.0278,Standard deviation,Atomic Absorption Spectroscopy,,,
789,0.8819,No,0.2469,Standard deviation,Thermal/Optical Reflectance,,,
790,0.9124,No,0.1994,Standard deviation,Thermal/Optical Reflectance,,,
791,1.4276,No,0.2097,Standard deviation,Thermal/Optical Reflectance,,,
792,1.0077,No,0.2653,Standard deviation,Thermal/Optical Reflectance,,,
794,1.7186,No,0.31,Standard deviation,Thermal/Optical Reflectance,,,
795,0,,0.2972,Standard deviation,X-Ray Fluorescence (XRF),,,
796,0.0963,No,0.0552,Standard deviation,Thermal/Optical Reflectance,,,
797,2.0432,,0.4303,Standard deviation,Thermal/Optical Reflectance,,,
810,0,,0.0056,Standard deviation,X-Ray Fluorescence (XRF),,,
830,0,No,592.8858,Standard deviation,Ion Chromatography (IC),,,
1183,0,No,0.3299,Standard deviation,Thermal/Optical Reflectance,,,
1190,1.2361,No,0.1301,Standard deviation,Thermal/Optical Reflectance,,,
2302,0.3355,,0.0252,Standard deviation,Atomic Absorption Spectroscopy,,,
